#Total No. of Collocate Types: 477
#Total No. of Collocate Tokens: 1354
1	72	41	31	3.07301	и
2	50	40	10	3.48662	ну
3	48	20	28	2.53752	я
4	47	18	29	4.61148	так
5	44	9	35	4.19439	этот
6	34	17	17	2.38520	вот
7	33	9	24	2.83825	это
8	33	21	12	2.46669	а
9	32	10	22	3.31273	как
10	28	25	3	2.67205	да
11	21	13	8	2.02967	что
12	18	0	18	1.39089	в
13	17	7	10	3.41317	такой
14	17	15	2	1.41100	быть
15	16	4	12	2.69512	там
16	16	7	9	2.15385	мы
17	15	3	12	2.42773	он
18	15	3	12	2.08016	на
19	14	5	9	3.14178	ээ
20	13	1	12	2.26676	вы
21	12	9	3	3.08604	знать
22	11	0	11	1.80263	у
23	11	10	1	1.00789	то
24	11	8	3	2.63662	говорить
25	11	3	8	2.43908	все
26	10	6	4	3.30843	сказать
27	9	2	7	3.49563	тут
28	9	1	8	2.23405	они
29	9	2	7	3.53082	если
30	8	2	6	4.05689	щас
31	8	2	6	2.05689	она
32	7	0	7	1.34320	с
33	7	1	6	2.19522	какой
34	7	2	5	3.20432	здесь
35	6	2	4	1.65635	ты
36	6	1	5	-0.00661	не
37	6	2	4	2.59921	мочь
38	6	2	4	2.82628	кто
39	6	3	3	2.89339	еще
40	5	1	4	5.11578	це
41	5	2	3	1.84277	уже
42	5	3	2	3.04540	только
43	5	1	4	3.18979	сейчас
44	5	4	1	3.37882	раз
45	5	1	4	2.29475	к
46	4	1	3	1.91939	э
47	4	2	2	1.84277	человек
48	4	3	1	4.00031	смотреть
49	4	0	4	2.53082	один
50	4	2	2	1.54088	нрзб
51	4	4	0	2.32571	нет
52	4	0	4	2.63466	мм
53	4	3	1	1.98650	который
54	4	0	4	2.20889	за
55	4	4	0	2.72347	жить
56	4	4	0	3.79386	дом
57	4	1	3	3.30843	даже
58	4	3	1	2.36090	аа
59	3	0	3	1.46553	эээ
60	3	2	1	3.33151	сидеть
61	3	3	0	1.92816	себя
62	3	1	2	2.50435	самый
63	3	2	1	3.96378	ребята
64	3	1	2	4.96378	пруд
65	3	2	1	2.85944	почему
66	3	3	0	2.58527	потом
67	3	0	3	0.89339	по
68	3	1	2	6.28571	одновременный
69	3	2	1	5.70075	одновременно
70	3	0	3	2.67100	о
71	3	2	1	5.11578	начаться
72	3	0	3	4.37882	например
73	3	2	1	2.55779	надо
74	3	1	2	3.19825	можно
75	3	1	2	1.59921	когда
76	3	0	3	2.03778	из
77	3	1	2	2.73112	идти
78	3	1	2	3.24132	значить
79	3	1	2	5.28571	ее
80	3	2	1	3.19825	думать
81	2	2	0	5.37882	штука
82	2	2	0	6.11578	школьник
83	2	1	1	2.57146	чтобы
84	2	2	0	3.61328	цена
85	2	1	1	2.45282	хотеть
86	2	2	0	1.79386	ходить
87	2	1	1	3.00031	тогда
88	2	2	0	5.37882	технология
89	2	2	0	3.70075	теперь
90	2	2	0	6.70075	темно
91	2	1	1	4.24132	сын
92	2	1	1	4.24132	собирать
93	2	2	0	4.24132	снег
94	2	1	1	3.30843	слушать
95	2	0	2	2.30843	сегодня
96	2	2	0	2.84277	рассказать
97	2	2	0	5.37882	район
98	2	2	0	5.70075	пустить
99	2	1	1	4.70075	простой
100	2	2	0	5.11578	происходить
101	2	2	0	3.70075	правильно
102	2	1	1	2.70075	поэтому
103	2	0	2	1.19295	потому
104	2	1	1	1.91939	понимать
105	2	2	0	5.70075	покупать
106	2	2	0	5.11578	поглядеть
107	2	2	0	5.70075	платок
108	2	1	1	5.70075	педагог
109	2	0	2	4.37882	оттуда
110	2	2	0	3.24132	отец
111	2	0	2	2.74655	опять
112	2	1	1	7.70075	обыск
113	2	0	2	0.90633	но
114	2	1	1	3.30843	начать
115	2	2	0	3.79386	называться
116	2	1	1	2.49129	наверное
117	2	0	2	1.41534	мой
118	2	1	1	3.30843	мама
119	2	2	0	3.89339	любить
120	2	2	0	3.79386	купить
121	2	2	0	6.11578	кормить
122	2	0	2	4.37882	книжка
123	2	2	0	4.24132	кавказ
124	2	0	2	3.53082	интересный
125	2	1	1	3.70075	именно
126	2	2	0	1.63466	или
127	2	2	0	4.00031	здание
128	2	1	1	5.11578	зарабатывать
129	2	2	0	2.53082	жизнь
130	2	2	0	4.53082	дорога
131	2	2	0	2.65635	дело
132	2	2	0	2.08604	делать
133	2	0	2	1.86786	два
134	2	1	1	2.94586	дать
135	2	0	2	3.70075	далеко
136	2	2	0	4.00031	дак
137	2	2	0	0.37882	год
138	2	0	2	2.37882	вообще
139	2	1	1	3.61328	вон
140	2	0	2	0.37882	весь
141	2	2	0	6.70075	вводить
142	2	2	0	0.91939	бы
143	2	0	2	4.89339	буквально
144	2	2	0	3.70075	брать
145	2	1	1	4.53082	болеть
146	2	0	2	2.89339	баба
147	1	0	1	6.70075	якибошна
148	1	1	0	2.00031	язык
149	1	0	1	4.70075	ягибошна
150	1	1	0	6.70075	юноша
151	1	1	0	5.70075	ювелир
152	1	0	1	5.70075	этакий
153	1	0	1	4.70075	ща
154	1	0	1	6.70075	шутиков
155	1	1	0	1.89339	школа
156	1	1	0	5.70075	шаль
157	1	0	1	5.70075	чужой
158	1	0	1	4.70075	чувашский
159	1	0	1	2.61328	читать
160	1	1	0	4.37882	черт
161	1	1	0	5.11578	чемпионат
162	1	0	1	6.70075	чашечка
163	1	0	1	3.70075	часто
164	1	0	1	6.70075	ца
165	1	1	0	6.70075	хрущевка
166	1	1	0	3.53082	хотя
167	1	0	1	2.70075	хоть
168	1	1	0	2.53082	хорошо
169	1	1	0	1.02832	хороший
170	1	1	0	5.70075	химия
171	1	0	1	5.70075	фотография
172	1	0	1	6.70075	фотографироваться
173	1	1	0	5.70075	фактически
174	1	0	1	3.37882	учить
175	1	1	0	4.70075	уставать
176	1	1	0	4.37882	услышать
177	1	1	0	6.70075	усилиться
178	1	1	0	6.70075	урочище
179	1	1	0	6.70075	уродиться
180	1	1	0	4.70075	уровень
181	1	0	1	2.53082	умереть
182	1	1	0	5.70075	ум
183	1	0	1	2.00031	улица
184	1	1	0	4.70075	узнавать
185	1	0	1	6.70075	узенький
186	1	0	1	1.74655	уж
187	1	1	0	5.11578	убить
188	1	0	1	6.70075	убираться
189	1	0	1	5.11578	тута
190	1	0	1	1.70075	три
191	1	1	0	4.70075	трасса
192	1	1	0	4.70075	топить
193	1	0	1	0.59222	тоже
194	1	0	1	5.70075	товарооборот
195	1	1	0	5.70075	тиф
196	1	1	0	2.61328	типа
197	1	1	0	6.70075	течь
198	1	0	1	2.89339	твой
199	1	1	0	5.70075	таскать
200	1	1	0	2.11578	таки
201	1	1	0	3.89339	также
202	1	1	0	6.70075	таблеточка
203	1	0	1	5.11578	т
204	1	1	0	4.37882	счастье
205	1	1	0	5.70075	схоронить
206	1	1	0	4.70075	существовать
207	1	0	1	5.70075	сундук
208	1	0	1	2.61328	сто
209	1	0	1	5.70075	старинный
210	1	1	0	3.37882	стараться
211	1	0	1	4.70075	среди
212	1	1	0	4.11578	спросить
213	1	0	1	2.30843	сорок
214	1	1	0	5.11578	содержание
215	1	1	0	6.70075	согласие
216	1	0	1	4.70075	собраться
217	1	1	0	3.11578	смысл
218	1	1	0	5.11578	смена
219	1	1	0	3.11578	сложный
220	1	1	0	6.70075	скреплево
221	1	1	0	6.70075	склад
222	1	1	0	2.89339	сказка
223	1	1	0	4.37882	система
224	1	1	0	4.11578	сжечь
